act,link,pic,sco,title
斯科特·安第斯、瑞恩·波特,http://dianying.2345.com/detail/119306.html,http//imgwx3.2345.com/dypcimg/img/7/39/s119306.jpg?1440579883,8.1,超能陆战队英语
皮艾尔·柯芬、桑德拉·布洛克,http://dianying.2345.com/detail/151524.html,http//imgwx3.2345.com/dypcimg/img/0/50/s151524.jpg?1438238898,8.2,小黄人大眼萌
张天其、樊蕊,http://dianying.2345.com/detail/193619.html,http//imgwx2.2345.com/dypcimg/img/6/64/s193619.jpg,7.6,大梦西游3女儿国奇遇记
兰迪·奥尔顿、埃里克·罗伯茨,http://dianying.2345.com/detail/180670.html,http//imgwx1.2345.com/dypcimg/img/f/60/s180670.jpg,7.8,死囚大逃杀2
谢苗、张赫,http://dianying.2345.com/detail/167947.html,http//imgwx1.2345.com/dypcimg/img/7/55/s167947.jpg,8.2,大梦西游
周星驰、莫文蔚,http://dianying.2345.com/detail/364.html,http//imgwx3.2345.com/dypcimg/img/b/0/s364.jpg?1464762756,8.9,大话西游之月光宝盒
徐璐、彭昱畅,http://dianying.2345.com/detail/192908.html,http//imgwx1.2345.com/dypcimg/img/2/64/s192908.jpg?1500430283,9.0,闪光少女
范·迪塞尔、保罗·沃克,http://dianying.2345.com/detail/78555.html,http//imgwx3.2345.com/dypcimg/img/7/26/s78555.jpg?1395654878,8.6,速度与激情6
甄子丹、洪金宝,http://dianying.2345.com/detail/37391.html,http//imgwx4.2345.com/dypcimg/img/f/12/s37391.jpg?1435808841,9.1,杀破狼
孙昊、齐乐,http://dianying.2345.com/detail/194199.html,http//imgwx1.2345.com/dypcimg/img/b/64/s194199.jpg,8.6,猎魂师
林秀晶、柳演锡,http://dianying.2345.com/detail/146962.html,http//imgwx2.2345.com/dypcimg/img/c/48/s146962.jpg,7.1,隐秘的诱惑
尼尔·帕特里克…、杰玛·梅斯,http://dianying.2345.com/detail/52802.html,http//imgwx1.2345.com/dypcimg/img/d/17/s52802.jpg,7.3,蓝精灵
克里斯汀·贝尔、伊迪娜·门泽尔,http://dianying.2345.com/detail/105621.html,http//imgwx3.2345.com/dypcimg/img/4/35/s105621.jpg?1449206108,8.3,冰雪奇缘
米拉·乔沃维奇、艾丽·拉特,http://dianying.2345.com/detail/21204.html,http//imgwx1.2345.com/dypcimg/img/3/7/s21204.jpg,8.6,生化危机4战神再生
黄渤、徐静蕾,http://dianying.2345.com/detail/168230.html,http//imgwx5.2345.com/dypcimg/img/e/56/s168230.jpg?1500888030,8.8,记忆大师
米拉·乔沃维奇、艾丽·拉特,http://dianying.2345.com/detail/96428.html,http//imgwx2.2345.com/dypcimg/img/f/32/s96428.jpg?1487898716,8.7,生化危机6终章
马特·达蒙、景甜,http://dianying.2345.com/detail/153281.html,http//imgwx1.2345.com/dypcimg/img/6/51/s153281.jpg?1495779976,8.4,长城
任宇、赵蕴卓,http://dianying.2345.com/detail/192741.html,http//imgwx4.2345.com/dypcimg/img/4/64/s192741.jpg,8.2,血战狂沙
史蒂夫·卡瑞尔、克里斯汀·韦格,http://dianying.2345.com/detail/139221.html,http//imgwx4.2345.com/dypcimg/img/a/46/s139221.jpg,8.0,神偷奶爸2国语版
池珍熙、文素丽,http://dianying.2345.com/detail/21772.html,http//imgwx3.2345.com/dypcimg/img/7/7/s21772.jpg?1437102043,8.8,女教授的隐秘魅力
本·斯蒂勒、大卫·休默,http://dianying.2345.com/detail/136308.html,http//imgwx1.2345.com/dypcimg/img/7/45/s136308.jpg,7.5,马达加斯加
尼尔·帕特里克…、安东·尤金,http://dianying.2345.com/detail/74681.html,http//imgwx1.2345.com/dypcimg/img/e/24/s74681.jpg?1379481637,8.8,蓝精灵2
范·迪塞尔、保罗·沃克,http://dianying.2345.com/detail/26699.html,http//imgwx1.2345.com/dypcimg/img/1/8/s26699.jpg?1450323984,8.4,速度与激情5
成龙、克莱尔·弗兰妮,http://dianying.2345.com/detail/30931.html,http//imgwx3.2345.com/dypcimg/cae/b/10/30931/8ed3bd2a5543d0fa542285a30559ad57.jpg,5.7,飞龙再生
林正英、楼南光,http://dianying.2345.com/detail/193968.html,http//imgwx1.2345.com/dypcimg/img/4/64/s193968.jpg,8.1,甩皮鬼
范·迪塞尔、甄子丹,http://dianying.2345.com/detail/168234.html,http//imgwx1.2345.com/dypcimg/img/9/56/s168234.jpg?1486949863,8.1,极限特工3
刘峰超、张梦斯,http://dianying.2345.com/detail/151165.html,http//imgwx4.2345.com/dypcimg/img/0/50/s151165.jpg,8.9,拉雷手
萨姆·沃辛顿、佐伊·索尔达娜,http://dianying.2345.com/detail/22347.html,http//imgwx4.2345.com/dypcimg/img/a/7/s22347.jpg,8.6,阿凡达
曹天恺、陈梦瑶,http://dianying.2345.com/detail/180389.html,http//imgwx5.2345.com/dypcimg/img/6/60/s180389.jpg,8.4,逃出无人岛
西尔维斯特·史…、理查德·克里纳,http://dianying.2345.com/detail/40347.html,http//imgwx2.2345.com/dypcimg/img/f/13/s40347.jpg?1439545025,8.1,第一滴血1
,http://dianying.2345.com/detail/147721.html,http//imgwx2.2345.com/dypcimg/img/a/49/s147721.jpg,8.8,小马宝莉之小马国女孩
柯林·法瑞尔、布莱丹·格里森,http://dianying.2345.com/detail/54705.html,http//imgwx4.2345.com/dypcimg/img/8/448366/90c5676218a26dbb2d74b36082e7d97f.jpg,8.0,杀手没有假期
宋小宝、宋晓峰,http://dianying.2345.com/detail/192827.html,http//imgwx1.2345.com/dypcimg/img/1/64/s192827.jpg?1498357577,7.0,超级大山炮之夺宝奇兵
成龙、詹妮弗·洛芙·…,http://dianying.2345.com/detail/47511.html,http//imgwx5.2345.com/dypcimg/img/6/15/s47511.jpg,5.7,神奇燕尾服
马晓辉,http://dianying.2345.com/detail/193410.html,http//imgwx4.2345.com/dypcimg/img/7/64/s193410.jpg?1499678627,8.3,绝命刀手之墨玉断
鹿晗、井柏然,http://dianying.2345.com/detail/95841.html,http//imgwx3.2345.com/dypcimg/img/2/31/s95841.jpg?1474255428,7.0,盗墓笔记
何炅、钟欣潼,http://dianying.2345.com/detail/189361.html,http//imgwx1.2345.com/dypcimg/img/e/63/s189361.jpg?1500435896,8.6,仙球大战
迪丽热巴、张云龙,http://dianying.2345.com/detail/191232.html,http//imgwx3.2345.com/dypcimg/img/5/63/s191232.jpg?1490690424,9.0,傲娇与偏见
王心刚、金征源,http://dianying.2345.com/detail/36886.html,http//imgwx1.2345.com/dypcimg/img/2/12/s36886.jpg,7.1,侦察兵
克里斯·埃文斯、克里斯·海姆斯…,http://dianying.2345.com/detail/39641.html,http//imgwx1.2345.com/dypcimg/img/c/13/s39641.jpg?1399428840,8.0,复仇者联盟
赵丽颖、乔任梁,http://dianying.2345.com/detail/153285.html,http//imgwx1.2345.com/dypcimg/img/3/51/s153285.jpg?1480582476,7.2,我们的十年
安吉丽娜·朱莉、杰拉德·巴特勒,http://dianying.2345.com/detail/23854.html,http//imgwx5.2345.com/dypcimg/img/douban/1307657/postb_s2599386_mini.jpg,8.3,古墓丽影2
陈冠臻,http://dianying.2345.com/detail/194623.html,http//imgwx2.2345.com/dypcimg/img/b/64/s194623.jpg,7.9,下半城风云
